timestamp,amount,is_new_device,attempt_count,previous_chargebacks,velocity_24h,account_age_days,amount_vs_customer_baseline,device_customer_count,failed_attempt_ratio,is_chargeback
2026-01-01 00:36:00+00:00,1023.6224199610085,0,1,0,2,77,1.0,1,0.0,0
2026-01-01 00:37:00+00:00,653.85131171921,0,1,0,0,114,1.0,1,0.0,0
2026-01-01 01:14:00+00:00,484.8249169880797,1,1,0,0,333,1.0,1,0.0,0
2026-01-01 02:06:00+00:00,325.6591725664081,1,1,0,0,157,1.0,1,0.0,0
2026-01-01 02:18:00+00:00,832.9886910427267,1,1,0,0,212,1.0,1,0.0,0
2026-01-01 02:28:00+00:00,569.024374111601,1,1,0,0,269,1.0,1,0.0,0
2026-01-01 02:39:00+00:00,354.9354138973795,0,1,0,1,308,1.0,1,0.0,0
2026-01-01 03:12:00+00:00,551.8755990109769,0,1,0,0,110,1.0,1,0.0,0
2026-01-01 03:29:00+00:00,522.362015404319,0,1,0,1,13,1.0,1,0.0,0
2026-01-01 03:35:00+00:00,425.1104116648942,0,2,0,2,6,1.0,1,0.5,0
2026-01-01 04:54:00+00:00,377.9646098204892,0,1,0,0,331,1.0,1,0.0,0
2026-01-01 05:20:00+00:00,1066.4188345384562,0,1,0,1,140,1.0,1,0.0,0
2026-01-01 05:36:00+00:00,687.2105375159111,0,1,0,2,264,1.0,1,0.0,0
2026-01-01 05:40:00+00:00,230.8150465955526,0,1,0,4,27,1.0,1,0.0,0
2026-01-01 06:03:00+00:00,413.9295280461932,0,1,0,1,334,1.0,1,0.0,0
2026-01-01 06:10:00+00:00,1405.9566637802493,0,1,0,3,8,1.0,1,0.0,0
2026-01-01 06:30:00+00:00,569.8158414785499,0,1,0,0,47,1.0,1,0.0,0
2026-01-01 06:44:00+00:00,1303.7946625730447,1,1,0,1,103,1.0,1,0.0,0
2026-01-01 07:12:00+00:00,586.9076741561432,1,1,0,2,249,1.0,1,0.0,0
2026-01-01 08:35:00+00:00,139.55783444434044,0,1,0,1,188,1.0,1,0.0,0
2026-01-01 09:19:00+00:00,387.5939896457903,1,1,0,3,317,1.0,1,0.0,0
2026-01-01 10:54:00+00:00,80.92548092499558,0,1,0,2,222,1.0,1,0.0,0
2026-01-01 11:57:00+00:00,631.4432732474417,0,1,0,2,348,1.0,1,0.0,0
2026-01-01 12:07:00+00:00,1823.3003439927993,0,1,0,2,255,1.0,1,0.0,0
2026-01-01 13:01:00+00:00,900.4602535581262,0,1,0,2,318,1.0,1,0.0,0
2026-01-01 13:19:00+00:00,3203.2539015768434,0,1,0,0,19,1.0,1,0.0,0
2026-01-01 13:21:00+00:00,4191.919730776317,1,1,0,2,137,1.0,1,0.0,0
2026-01-01 13:54:00+00:00,78.85580848979684,0,1,0,0,262,1.0,1,0.0,0
2026-01-01 14:00:00+00:00,209.60337550476117,0,1,0,1,149,1.0,1,0.0,0
2026-01-01 14:06:00+00:00,353.1155580827214,1,1,0,0,25,1.0,1,0.0,0
2026-01-01 14:42:00+00:00,277.23615292200066,1,4,0,0,351,1.0,1,0.75,0
2026-01-01 15:01:00+00:00,823.5096730968577,0,1,0,0,140,1.0,1,0.0,0
2026-01-01 15:16:00+00:00,744.201530238656,0,1,0,3,140,1.0,1,0.0,0
2026-01-01 15:17:00+00:00,1755.1805682898723,0,1,0,1,20,1.0,1,0.0,0
2026-01-01 16:55:00+00:00,679.7599862995075,1,1,0,3,69,1.0,1,0.0,0
2026-01-01 17:24:00+00:00,271.3153110377204,0,1,0,0,108,1.0,1,0.0,0
2026-01-01 17:31:00+00:00,294.3853641774506,0,1,0,1,54,1.0,2,0.0,0
2026-01-01 17:42:00+00:00,4404.275615465294,1,1,1,4,132,1.0,1,0.0,1
2026-01-01 18:15:00+00:00,928.1145085022832,1,1,0,0,359,1.0,1,0.0,0
2026-01-01 18:35:00+00:00,553.6817484310822,1,1,0,1,321,1.0,1,0.0,0
2026-01-01 18:52:00+00:00,1673.793713128343,0,1,0,0,216,1.0,1,0.0,0
2026-01-01 20:52:00+00:00,697.6373259274219,1,1,1,3,308,1.0,1,0.0,1
2026-01-01 22:59:00+00:00,232.47019086857222,0,1,0,0,192,1.0,1,0.0,0
2026-01-01 23:11:00+00:00,936.0071539524424,0,4,0,0,256,1.0,1,0.75,0
2026-01-02 00:26:00+00:00,844.9839630676238,0,1,1,5,130,1.0,1,0.0,0
2026-01-02 00:28:00+00:00,845.1268545618468,0,1,0,1,287,1.0,1,0.0,0
2026-01-02 01:15:00+00:00,110.31284415498006,1,1,0,1,181,1.0,1,0.0,0
2026-01-02 01:37:00+00:00,34.97399475021645,0,1,0,1,194,1.0,1,0.0,0
2026-01-02 01:39:00+00:00,3903.005028322774,0,1,0,1,145,1.0,1,0.0,0
2026-01-02 01:42:00+00:00,705.4115131990354,1,1,0,1,29,1.0,1,0.0,0
2026-01-02 02:17:00+00:00,896.128450053113,0,1,0,2,127,1.0,1,0.0,0
2026-01-02 02:45:00+00:00,497.48132350522917,0,1,0,0,333,1.0,1,0.0,0
2026-01-02 03:00:00+00:00,778.9316400733499,0,1,0,2,9,1.0,1,0.0,0
2026-01-02 03:02:00+00:00,272.29027828801793,0,1,1,5,66,1.0,1,0.0,0
2026-01-02 05:19:00+00:00,526.3703503580911,1,1,0,0,281,1.0,1,0.0,0
